Actual_Demand,RF_Pred,XGB_Pred,Ensemble_Pred
79,62.58,70.430565,66.50528244018554
57,61.55,64.9983,63.274149322509764
96,111.89,102.89013,107.39006454467773
64,75.44,73.33309,74.38654586791992
108,102.11,114.71284,108.41141860961915
111,107.04,108.17926,107.60963012695314
148,142.65,143.62933,143.13966674804686
86,99.415,86.07577,92.74538375854493
210,158.655,162.9655,160.81024993896483
117,101.265,102.192276,101.72863800048827
77,84.375,98.662,91.51850128173828
65,79.925,77.87599,78.90049591064454
50,77.59,64.766426,71.17821304321289
148,110.67,134.14427,122.40713592529298
61,83.135,55.46801,69.30150497436523
82,71.08,83.25375,77.16687683105468
51,71.095,63.150845,67.1229222869873
56,69.78,65.6932,67.73659957885742
67,84.855,82.977646,83.91632293701173
140,132.4,138.63824,135.5191223144531
264,193.095,215.92764,204.51132141113283
96,113.715,123.57725,118.64612380981445
82,71.295,82.75764,77.0263185119629
151,122.15,141.80167,131.9758331298828
180,153.435,167.3196,160.37729766845703
142,136.265,135.88362,136.07431060791015
151,148.335,157.28844,152.81171844482424
116,120.36,100.44783,110.40391510009766
179,150.44,144.68893,147.56446716308594
114,126.565,123.626205,125.09560272216797
85,97.69,91.54795,94.61897537231445
188,132.73,152.6198,142.67489837646485
176,142.385,164.22304,153.30401885986328
160,140.655,157.46577,149.0603872680664
196,174.415,167.45715,170.93607666015623
81,132.035,97.66056,114.84778030395508
166,146.06,144.84273,145.4513638305664
219,179.665,194.88516,187.2750811767578
51,106.73,101.55256,104.1412794494629
55,88.855,71.78123,80.31811355590821
72,75.605,68.583824,72.09441207885743
100,123.85,111.84134,117.84566955566406
81,75.935,74.48699,75.21099594116211
58,57.97,62.545532,60.25776611328125
154,129.405,121.25565,125.33032669067383
144,99.08,118.90812,108.99405960083007
89,98.815,99.826485,99.32074234008789
111,118.535,121.093124,119.81406219482422
95,84.23,102.72616,93.47807907104493
106,107.055,103.30396,105.17948135375977
106,88.975,95.79204,92.38351898193359
105,109.16,107.6962,108.42809875488281
60,79.3,66.88472,73.09235992431641
206,130.11,158.73631,144.42315643310548
72,103.19,84.94368,94.06683990478516
154,127.0,140.23222,133.6161117553711
139,117.61,136.81961,127.21480529785157
119,137.635,123.14178,130.3883885192871
136,137.485,143.83951,140.66225402832032
96,100.425,103.74373,102.08436431884766
62,74.375,69.61216,71.99357986450195
118,109.04,108.78901,108.91450454711915
87,90.81,93.31683,92.06341674804688
59,62.78,59.51336,61.14667953491211
116,127.285,112.76801,120.02650650024414
75,81.705,83.17276,82.4388800048828
156,117.76,137.65921,127.70960510253906
122,143.36,127.20807,135.28403442382813
88,77.42,91.08662,84.25330825805665
147,127.135,130.49577,128.81538665771484
138,115.74,123.601425,119.67071258544922
127,127.89,129.83466,128.86232788085937
163,144.73,154.83682,149.78341125488282
92,101.145,109.82008,105.48254180908202
178,149.335,165.92268,157.62884185791017
107,108.74,103.573944,106.15697204589844
89,97.51,104.754715,101.13235748291015
135,123.97,136.6345,130.30225311279298
52,79.915,71.40115,75.65807678222657
64,94.2,86.04871,90.12435684204101
145,118.445,138.13805,128.29152313232422
72,100.95,78.311745,89.6308723449707
214,140.675,154.72545,147.70022430419922
108,98.94,96.19368,97.56683990478516
136,128.355,131.30917,129.8320867919922
102,101.12,110.68509,105.90254455566406
66,66.39,66.555725,66.47286254882812
77,92.0,103.75893,97.87946319580078
87,92.14,83.28633,87.7131655883789
120,144.935,123.517975,134.2264874267578
57,67.56,58.08187,62.82093551635742
87,103.48,88.690956,96.08547805786134
84,84.575,83.207924,83.89146194458007
79,71.545,67.362335,69.45366760253907
153,108.51,120.414795,114.4623974609375
77,89.985,86.433784,88.20939224243165
43,61.675,72.583954,67.12947692871094
70,74.225,68.556564,71.39078216552734
90,91.29,82.45221,86.87110473632814
79,80.815,70.11007,75.46253463745117
65,85.32,78.08987,81.7049333190918
63,62.02,63.33744,62.67872024536133
56,62.925,70.61881,66.77190628051758
73,99.735,87.59554,93.66527145385743
76,78.22,79.60935,78.9146760559082
43,56.43,41.540623,48.985311355590824
86,90.675,89.515816,90.09540786743165
100,113.14,108.60102,110.87051040649413
140,105.655,113.658295,109.65664733886719
75,71.465,68.97317,70.2190837097168
152,118.24,122.81575,120.52787506103516
44,67.285,65.8688,66.57689865112305
129,114.025,124.93132,119.47816009521485
89,81.425,75.25276,78.33888092041016
52,69.985,66.959274,68.4721371459961
137,133.775,125.15331,129.46415634155272
96,97.87,97.96614,97.91807037353516
99,93.46,91.354576,92.40728805541991
93,100.57,95.446594,98.00829711914062
111,98.16,97.21133,97.68566329956055
77,74.64,81.41122,78.02560836791992
142,112.555,120.137985,116.3464926147461
119,150.335,135.38132,142.85815856933596
189,147.56,159.7805,153.67025115966797
86,90.705,92.0569,91.38095001220702
152,145.685,143.19539,144.44019439697266
146,158.43,156.75893,157.59446319580078
77,87.595,91.01735,89.30617462158203
194,125.21,166.561,145.88550231933593
131,151.185,140.28627,145.73563507080078
40,73.41,58.23828,65.824140625
136,109.515,118.21099,113.86299545288085
106,94.545,113.86778,104.20639129638673
88,116.065,113.89146,114.97822830200195
183,163.615,187.56631,175.59065734863282
113,110.36,123.75856,117.05928009033204
111,115.22,120.37595,117.7979768371582
129,91.675,118.75588,105.2154411315918
144,135.885,138.42343,137.15421569824218
76,82.175,76.22913,79.20206680297852
154,114.75,148.2851,131.51754760742188
234,204.715,225.30104,215.00802032470705
174,125.43,150.7713,138.10065063476563
211,175.6,188.17557,181.88778381347657
219,175.075,188.92297,181.99898681640624
230,166.885,206.4865,186.68574798583984
169,151.38,153.6467,152.51334899902344
142,135.95,139.72234,137.83616790771484
72,86.37,86.2258,86.29789978027344
212,139.005,167.7784,153.39169830322265
121,117.99,129.88676,123.9383822631836
138,148.575,161.40428,154.98964080810546
162,164.775,159.45934,162.1171676635742
48,82.275,51.758957,67.01697845458985
55,69.905,68.25169,69.07834686279297
135,105.6,118.27257,111.93628387451172
141,116.46,125.49932,120.97966049194335
60,87.69,68.337074,78.01353713989258
103,74.795,87.980125,81.38756271362305
75,104.52,93.9512,99.23560119628905
36,54.285,49.064896,51.674947814941405
80,86.335,80.174034,83.25451705932616
67,69.985,70.74855,70.36677520751954
44,42.105,50.308872,46.20693611145019
34,57.58,43.2136,50.3968000793457
50,63.75,50.99294,57.371469497680664
98,104.43,111.65803,108.0440138244629
57,62.945,57.873142,60.40907112121582
111,91.23,78.403915,84.81695770263673
77,82.73,70.173645,76.45182250976563
149,109.925,114.43701,112.181005859375
131,112.66,121.94391,117.30195434570312
30,60.885,58.65448,59.76973999023437
61,55.935,65.9427,60.93885162353516
119,115.76,107.648674,111.70433700561523
47,58.67,54.42484,56.547419509887696
90,94.815,102.931755,98.87337753295898
88,95.58,87.46915,91.5245733642578
109,103.55,92.62845,98.08922424316407
127,110.865,120.00014,115.43256866455079
158,117.99,130.00925,123.99962341308594
127,135.105,122.88657,128.99578689575196
133,122.84,128.44914,125.64457122802735
82,78.72,91.54057,85.1302865600586
86,94.265,99.62362,96.94430953979492
157,131.07,152.28319,141.67659393310547
99,91.105,95.75604,93.43052124023438
187,140.15,147.74736,143.94868011474608
189,174.35,184.44109,179.39554290771486
153,129.54,149.03726,139.2886309814453
88,118.085,79.5291,98.80704925537108
111,87.69,109.96977,98.82988616943359
